,index,name,date,price
532,14,昌里花园,201708,64391
533,14,昌里花园,201709,63684
534,14,昌里花园,201710,64020
535,14,昌里花园,201711,63734
536,14,昌里花园,201712,63324
537,14,昌里花园,201801,61778
538,14,昌里花园,201802,60721
539,14,昌里花园,201803,60971
540,15,梅园三街坊,201504,0
541,15,梅园三街坊,201505,0
542,15,梅园三街坊,201506,0
543,15,梅园三街坊,201507,0
544,15,梅园三街坊,201508,0
545,15,梅园三街坊,201509,0
546,15,梅园三街坊,201510,0
547,15,梅园三街坊,201511,0
548,15,梅园三街坊,201512,0
549,15,梅园三街坊,201601,0
550,15,梅园三街坊,201602,0
551,15,梅园三街坊,201603,0
552,15,梅园三街坊,201604,0
553,15,梅园三街坊,201605,0
554,15,梅园三街坊,201606,0
555,15,梅园三街坊,201607,0
556,15,梅园三街坊,201608,0
557,15,梅园三街坊,201609,0
558,15,梅园三街坊,201610,0
559,15,梅园三街坊,201611,0
560,15,梅园三街坊,201612,0
561,15,梅园三街坊,201701,0
562,15,梅园三街坊,201702,0
563,15,梅园三街坊,201703,0
564,15,梅园三街坊,201704,114780
565,15,梅园三街坊,201705,117298
566,15,梅园三街坊,201706,127852
567,15,梅园三街坊,201707,122574
568,15,梅园三街坊,201708,119470
569,15,梅园三街坊,201709,119246
570,15,梅园三街坊,201710,118241
571,15,梅园三街坊,201711,119556
572,15,梅园三街坊,201712,123266
573,15,梅园三街坊,201801,123976
574,15,梅园三街坊,201802,122677
575,15,梅园三街坊,201803,123128
576,16,滨江凯旋门,201504,117924
577,16,滨江凯旋门,201505,119854
578,16,滨江凯旋门,201506,117014
579,16,滨江凯旋门,201507,115682
580,16,滨江凯旋门,201508,115401
581,16,滨江凯旋门,201509,112988
582,16,滨江凯旋门,201510,110907
583,16,滨江凯旋门,201511,113757
584,16,滨江凯旋门,201512,122527
585,16,滨江凯旋门,201601,124584
586,16,滨江凯旋门,201602,129750
587,16,滨江凯旋门,201603,151872
588,16,滨江凯旋门,201604,151221
589,16,滨江凯旋门,201605,149934
590,16,滨江凯旋门,201606,150874
591,16,滨江凯旋门,201607,147484
592,16,滨江凯旋门,201608,123978
593,16,滨江凯旋门,201609,127717
594,16,滨江凯旋门,201610,133054
595,16,滨江凯旋门,201611,147193
596,16,滨江凯旋门,201612,153574
597,16,滨江凯旋门,201701,141101
598,16,滨江凯旋门,201702,149765
599,16,滨江凯旋门,201703,148418
600,16,滨江凯旋门,201704,160160
601,16,滨江凯旋门,201705,162597
602,16,滨江凯旋门,201706,172857
603,16,滨江凯旋门,201707,183829
604,16,滨江凯旋门,201708,188382
605,16,滨江凯旋门,201709,172020
606,16,滨江凯旋门,201710,178943
607,16,滨江凯旋门,201711,173945
608,16,滨江凯旋门,201712,173623
609,16,滨江凯旋门,201801,184129
610,16,滨江凯旋门,201802,185319
611,16,滨江凯旋门,201803,188854
612,17,云台小区,201504,33199
613,17,云台小区,201505,31897
614,17,云台小区,201506,33562
615,17,云台小区,201507,32321
616,17,云台小区,201508,33593
617,17,云台小区,201509,34047
618,17,云台小区,201510,31791
619,17,云台小区,201511,35065
620,17,云台小区,201512,38236
621,17,云台小区,201601,37451
622,17,云台小区,201602,36147
623,17,云台小区,201603,47257
624,17,云台小区,201604,46993
625,17,云台小区,201605,47854
626,17,云台小区,201606,45997
627,17,云台小区,201607,46074
628,17,云台小区,201608,47844
629,17,云台小区,201609,46817
630,17,云台小区,201610,48752
631,17,云台小区,201611,53977
632,17,云台小区,201612,59933
633,17,云台小区,201701,56726
634,17,云台小区,201702,49098
635,17,云台小区,201703,48990
636,17,云台小区,201704,47515
637,17,云台小区,201705,50865
638,17,云台小区,201706,51342
639,17,云台小区,201707,52862
640,17,云台小区,201708,52740
641,17,云台小区,201709,53269
642,17,云台小区,201710,53692
643,17,云台小区,201711,54143
644,17,云台小区,201712,53974
645,17,云台小区,201801,52780
646,17,云台小区,201802,51188
647,17,云台小区,201803,50755
648,18,世茂湖滨花园(公寓),201504,43575
649,18,世茂湖滨花园(公寓),201505,44364
650,18,世茂湖滨花园(公寓),201506,45302
651,18,世茂湖滨花园(公寓),201507,47682
652,18,世茂湖滨花园(公寓),201508,49213
653,18,世茂湖滨花园(公寓),201509,50466
654,18,世茂湖滨花园(公寓),201510,50950
655,18,世茂湖滨花园(公寓),201511,52944
656,18,世茂湖滨花园(公寓),201512,54714
657,18,世茂湖滨花园(公寓),201601,62459
658,18,世茂湖滨花园(公寓),201602,65253
659,18,世茂湖滨花园(公寓),201603,71015
660,18,世茂湖滨花园(公寓),201604,70747
661,18,世茂湖滨花园(公寓),201605,70492
662,18,世茂湖滨花园(公寓),201606,66986
663,18,世茂湖滨花园(公寓),201607,67786
664,18,世茂湖滨花园(公寓),201608,68448
665,18,世茂湖滨花园(公寓),201609,70363
666,18,世茂湖滨花园(公寓),201610,72868
667,18,世茂湖滨花园(公寓),201611,77511
668,18,世茂湖滨花园(公寓),201612,76432
669,18,世茂湖滨花园(公寓),201701,79007
670,18,世茂湖滨花园(公寓),201702,78340
671,18,世茂湖滨花园(公寓),201703,78098
672,18,世茂湖滨花园(公寓),201704,77663
673,18,世茂湖滨花园(公寓),201705,81777
674,18,世茂湖滨花园(公寓),201706,82151
675,18,世茂湖滨花园(公寓),201707,81263
676,18,世茂湖滨花园(公寓),201708,78263
677,18,世茂湖滨花园(公寓),201709,77009
678,18,世茂湖滨花园(公寓),201710,76422
679,18,世茂湖滨花园(公寓),201711,76737
680,18,世茂湖滨花园(公寓),201712,76362
681,18,世茂湖滨花园(公寓),201801,76851
682,18,世茂湖滨花园(公寓),201802,78023
683,18,世茂湖滨花园(公寓),201803,78422
684,19,金海华城永华苑,201504,0
685,19,金海华城永华苑,201505,0
686,19,金海华城永华苑,201506,0
687,19,金海华城永华苑,201507,0
688,19,金海华城永华苑,201508,0
689,19,金海华城永华苑,201509,0
690,19,金海华城永华苑,201510,0
691,19,金海华城永华苑,201511,0
692,19,金海华城永华苑,201512,0
693,19,金海华城永华苑,201601,0
