,address,link,long,lat,property_type,property_costs,total_area,number_of_units,year_built,parking_spots,volume_rate,green_rating,developer_company,property_management_company
5511,钦州花苑,https://shanghai.anjuke.com/community/view/1496,31.184163,121.432975,公寓,0.80元/平米/月,2000m²,406户,1995年,80,暂无数据,35%(一般),上海中星有限公司,申城物业
5512,中海瀛台(一期),https://shanghai.anjuke.com/community/view/1336,31.147338,121.459436,公寓,2.55元/平米/月,270000m²,1600户,2007年,1500,1.31,50%(高),上海新海汇房产有限公司,中海物业管理有限公司
5513,徐汇中凯城市之光名邸,https://shanghai.anjuke.com/community/view/820528,31.198677000000004,121.4353,公寓,3.80元/平米/月,暂无数据,暂无数据,2013年,暂无数据,2.5,35%(一般),上海源丰投资发展有限公司,恒豪基业物业管理有限公司
5514,复兴中路1248弄小区,https://shanghai.anjuke.com/community/view/181629,31.219409,121.464775,公寓,0.60元/平米/月,1800m²,15户,1985年,8,暂无数据,36%(一般),上实房地产开发有限公司,东湖物业
5515,梅陇十一村,https://shanghai.anjuke.com/community/view/14106,31.138909,121.43373400000002,公寓,0.80元/平米/月,8545m²,2500户,2001年,500,1.8,35%(一般),上海梅陇政府投资公司,上海徐汇物业管理公司
5516,华泾四村,https://shanghai.anjuke.com/community/view/6208,31.126573,121.454281,公寓,0.45元/平米/月,3800m²,176户,2000年,160,2,38%(一般),华润置业有限公司,华润物业
5517,番禺小区,https://shanghai.anjuke.com/community/view/2400,31.204217,121.434935,公寓,0.60元/平米/月,14852m²,134户,1986年,35,2,20%(一般),上房置换,上海高建物业有限公司
5518,枫林新村,https://shanghai.anjuke.com/community/view/1943,31.19830300000001,121.465318,公寓,5.00元/平米/月,20000m²,360户,1995年,30,暂无数据,20%(一般),市政开发公司,上海中星（集团）有限公司
5519,东安花苑,https://shanghai.anjuke.com/community/view/1901,31.192562,121.46228,公寓,1.50元/平米/月,20000m²,480户,1991年,120,1.8,35%(一般),上海鹏欣（集团）有限公司,上海长丰物业管理有限公司
5520,玉兰花苑,https://shanghai.anjuke.com/community/view/1696,31.192141,121.441446,公寓,1.60元/平米/月,82900m²,859户,1992年,1500个200/月地上350/月地下,2.4,30%(一般),上海市城市建设综合开发有限公司,远望君安公司
5521,莱诗邸,https://shanghai.anjuke.com/community/view/1302,31.196153,121.446604,公寓,3.25元/平米/月,120000m²,800户,2005年,200,2.6,35%(一般),上海新徐房地产开发有限公司,恒源物业服务（上海）有限公司
5522,大木小区,https://shanghai.anjuke.com/community/view/990270,31.206334,121.46948,公寓,4.50元/平米/月,暂无数据,暂无数据,1984年,暂无数据,1.5,暂无数据,上海徐房集团有限公司,上海高建物业有限公司
5523,上缝小区,https://shanghai.anjuke.com/community/view/990132,31.179296,121.452573,公寓,0.55元/平米/月,暂无数据,暂无数据,1995年,暂无数据,暂无数据,暂无数据,上海缝建集团,上海缝建物业有限公司
5524,徐汇老洋房,https://shanghai.anjuke.com/community/view/486865,31.221003000000003,121.456477,公寓,0.50元/平米/月,暂无数据,暂无数据,1927年,暂无数据,暂无数据,32%(一般),暂无数据,宝隆物业管理有限公司
5525,印象欧洲,https://shanghai.anjuke.com/community/view/359555,31.123464,121.46542,公寓,4.50元/平米/月,220000m²,1400户,2011年,960,1.22,37%(一般),上海盈旺房地产开发有限公司,上海新昌物业服务有限公司
5526,嘉御庭(一期),https://shanghai.anjuke.com/community/view/323165,31.2126,121.466157,公寓,暂无数据,190000m²,502户,2012年,430,3.65,25%(一般),上海嘉兆房地产开发经营有限公司,第一太平戴维斯物业顾问（上海）有限公司
