,address,long,lat,property_type,property_cost(Rmb/m^2/month),total_area(m2),number_of_units,year_built,parking_spots,volume_rate,green_rating(%),ratio
5116,复星新苑,31.293923,121.427729,0,0.6,50000,600,2000,120,2,31,-0.16334142580770006
5117,宝地绿洲城(北区),31.412112,121.46960800000001,0,0.5,120000,1139,2004,368,11,46,-0.3014122353968735
5118,新月万升家园,31.412803999999998,121.43441299999999,0,1.2,61000,514,2004,200,132,44,-0.3906026112770151
5119,紫逸佳苑,31.318496000000003,121.49295500000001,0,0.65,12949,117,2006,60,215,35,-0.16287392098898926
5144,淞宝路160弄小区,31.387472,121.50676999999999,0,0.7,37000,580,1995,135,18,34,-0.40144519810007634
5146,环镇北路323弄小区,31.314115,121.417677,0,0.45,37500,750,1996,158,2,38,-0.3415318262721238
5152,友谊家园(西区),31.402519,121.460967,0,0.8,135000,6000,2013,154,2,35,-0.3682917153264147
5155,爱迪苑,31.335067,121.464619,0,0.72,1000,250,2001,40,2,35,-0.14250068933739168
5157,龙珠苑,31.297313,121.421268,0,1.3,100000,645,2004,800,9,35,-0.3019262865027734
5158,宝山九村,31.405528000000004,121.50248500000001,0,1.0,77000,675,1998,450,14,28,-0.2274379542398872
5160,杨泰二村,31.375834,121.447787,0,0.6,95000,480,2003,80,15,30,-0.3656787008024633
5161,祁连三村,31.317359999999997,121.38915300000001,0,0.45,6500000,986,1997,400,168,35,-0.2548747053982426
5162,新逸仙公寓,31.352878000000004,121.502801,0,0.6,32390,1800,2002,50,15,35,-0.3227049698381712
5165,宝林四村,31.409789,121.49913600000001,0,1.0,92000,1550,1996,680,17,30,-0.2735555820238855
5166,宝林八村,31.41273,121.501729,0,0.3,125000,1785,1994,185,12,35,-0.25683213487166306
5167,宝钢三村,31.408590000000004,121.48746000000001,0,0.3,120000,1200,2000,750,8,24,-0.22891374698100084
5168,新月翡翠园,31.409329999999997,121.43533400000001,0,1.35,58012,580,2006,50,18,42,-0.3631173960836483
5169,金兰雅墅,31.407645000000002,121.36933,1,2.8,50000,260,2007,260,6,50,-0.29356470172952925
5170,久华佳苑一期,31.275519,121.42641699999999,0,1.5,100000,572,2006,270,333,40,0.11004585489370668
5206,祁南新村,31.421576,121.35376799999999,0,0.5,25600,192,1988,48,15,35,-0.6185905026510383
5207,禄德华苑,31.376989000000002,121.457228,0,1.25,370000,1640,2003,172,21,38,-0.3621808430928442
5212,东华苑,31.307999,121.42904899999999,0,0.65,42700,950,2008,550,15,28,-0.18950065458912213
5214,泊仕郡,31.356159,121.39903799999999,1,2.5,80000,186,2009,186,67,45,-0.28942088465697724
5215,海德花园(公寓),31.396860999999998,121.430676,0,2.2,200000,386,2010,760,32,50,-0.3338680829671356
5217,淞青路64弄小区,31.395761,121.506971,0,0.4,39000,250,1999,145,14,25,-0.28774901242457496
5220,淞滨支路120弄小区,31.375069,121.49351899999999,0,0.5,21070,375,1995,138,2,42,-0.3825698046726315
5221,菊泉公寓,31.361556,121.380948,0,0.55,2500,300,2010,35,2,49,-0.5298765718117932
5222,春雷路354弄小区,31.417677,121.439742,0,0.6,63,2100,1996,132,2,47,-0.41544498680971564
5223,景泰公寓,31.384588,121.500997,0,1.5,47000,310,2001,207,15,25,-0.17041476387013202
5224,乐业四村,31.412754999999997,121.43308300000001,0,0.55,34500,760,1997,164,2,35,-0.4165001542988896
5228,月浦十村,31.420766999999998,121.437703,0,0.6,25320,750,1990,300,18,30,-0.4367899558354427
5229,月浦二村,31.425917,121.43494399999999,0,1.23,42650,750,1987,169,2,49,-0.42258112791774316
5230,月浦五村,31.424009,121.43205900000001,0,0.6,6521,543,1994,145,2,47,-0.4238394734280881
5231,淞南四村,31.351282,121.499225,0,1.2,27580,850,1983,184,18,30,-0.27984728876273424
5233,宝山水上新村,31.41425,121.496101,0,0.5,90000,640,1994,320,1,24,-0.23325225903355626
5234,月浦三村,31.424191999999998,121.433982,0,1.23,100000,178,1993,178,18,47,-0.4039588082550824
5235,富丽苑,31.395557,121.37240600000001,0,0.8,35000,750,2006,360,15,25,-0.46646809139363654
5239,宏裕苑,31.34913,121.44530800000001,0,0.71,56000,1008,2004,198,18,40,-0.3357295563216873
5241,临江一村,31.41705,121.49306299999999,0,0.4,26450,450,1991,198,2,37,-0.30505965398965407
5242,宝林五村,31.411440999999996,121.498148,0,0.8,79000,985,1991,350,15,25,-0.2876005759292785
5243,金棠苑,31.339667,121.46833000000001,0,0.5,60000,380,1998,85,145,36,-0.25632619964985076
5244,通田商住楼,31.34345900000001,121.451426,0,1.6,15000,137,1996,35,138,30,-0.1760921803574199
5246,月浦八村,31.421568,121.43194199999999,0,0.5,51000,960,1992,500,3,28,-0.3918962643963275
5250,永清新村小区,31.397717999999998,121.50619099999999,0,0.6,34650,1250,1989,148,18,43,-0.2933998684249247
5251,乐业二村,31.416286,121.43988200000001,0,0.4,28560,860,1995,400,18,25,-0.39459336281985663
5253,罗新苑(西区),31.430446000000003,121.356576,0,1.05,61000,627,2009,520,12,26,-0.5376673769523963
5254,星福家园,31.320078999999996,121.38063000000001,0,1.0,8545,664,2004,600,13,40,-0.21082043221344174
5256,四元路360弄小区,31.41985,121.434455,0,0.6,39000,530,1993,470,2,30,-0.3987264510709183
5257,宝山五村,31.396278999999996,121.496524,0,0.7,32000,120,1998,50,16,25,-0.3219631234751375
5258,宝山一村,31.401329999999998,121.509803,0,1.6,120000,790,2009,375,13,25,-0.25504338416085
5262,宝钢十村,31.40901400000001,121.48484499999999,0,0.3,92000,900,1991,685,12,23,-0.28120276254538523
5263,共和二村,31.327809000000002,121.467479,0,1.5,52600,870,1995,380,18,25,-0.20928378807629675
5265,远景时代,31.291923999999998,121.429402,0,0.8,39000,328,2000,350,2,40,-0.04024730726590716
5266,罗南一村,31.389613,121.36816999999999,0,2.9,25600,620,1991,190,2,38,-0.48241644944750317
5267,祁连四村,31.322371999999998,121.38883100000001,0,0.6,100000,120,1998,80,23,37,-0.19936859405631221
5268,幸之苑(二期),31.319247999999998,121.49326,0,1.0,26000,220,1997,80,21,36,-0.07621622318027006
5272,新沪路960弄小区,31.278776,121.42555300000001,0,0.72,2000,396,2000,145,2,30,-0.2264093620837979
5274,祁连欣苑,31.314155,121.38399,0,1.0,90000,690,2008,300,14,45,-0.21807262682067277
5275,牡丹江路182弄小区,31.3832,121.503739,0,0.85,25500,420,1988,200,18,25,-0.36612198036798294
5276,虎林路435弄小区,31.342928000000004,121.465502,0,0.6,20000,580,1992,50,2,30,-0.16973105950405853
5277,玉华东苑,31.292628000000004,121.41823000000001,0,0.45,27000,208,2003,60,18,43,-0.1291093047663702
5278,淞宏苑,31.349359000000003,121.49103999999998,0,0.4,10000,98,2002,100,141,40,-0.33959523824666765
5280,长江路440弄小区,31.354316999999998,121.49708500000001,0,0.6,8000,385,1990,18,18,28,-0.2842561209469426
5281,马泾桥四村,31.424865999999998,121.420331,0,0.9,31200,630,1979,178,2,49,-0.4826655895586039
5282,长江路68弄小区,31.356683,121.505253,0,1.24,8000,785,1995,38,15,30,-0.3422221398348893
5284,恒鑫公寓,31.403941999999997,121.49285400000001,0,0.8,79000,350,1999,300,23,30,-0.26056082244272133
5285,四元路20弄小区,31.419228999999998,121.440297,0,0.5,270000,300,1995,169,13,46,-0.3979644456698414
5287,友谊路16弄小区,31.413190000000004,121.497681,0,0.8,42000,680,1987,172,18,40,-0.29533929395205133
5289,南大路406弄小区,31.30592,121.39303799999999,0,0.95,25500,385,1999,135,18,30,-0.48898224249639793
5290,宝城二村,31.414866999999997,121.49705800000001,0,0.6,95000,830,2001,420,15,25,-0.25580468637407555
