,room,area,price,orient,level,dec,line,linedistance,district,school,time,elevator,unknown1,unknown2,unknown3,unknown4,web
72,"
2室1厅1卫        ",20平米,30000元/平米,南,高层,精装修,0,0,浦东,0,2011年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319921744.htm
73,"
1室1厅1卫        ",50平米,8800元/平米,南,中层,简装修,0,0,上海周边,0,2019年,无 ,个人产权,普通住宅,跃层,板楼,http://esf.sh.fang.com/chushou/3_317450027.htm
74,"
1室1厅1卫        ",44.32平米,51895元/平米,南北,中层,精装修,0,0,普陀,0,1990年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_317535622.htm
75,"
2室2厅1卫        ",93.14平米,39188元/平米,南北,中层,精装修,0,0,闵行,0,2012年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319366021.htm
76,"
1室1厅1卫        ",58平米,35345元/平米,南,高层,中装修,11,964,嘉定,0,2008年,无 ,个人产权,普通住宅,平层,钢混,http://esf.sh.fang.com/chushou/3_319142322.htm
77,"
3室2厅2卫        ",165.2平米,85956元/平米,南北,低层,中装修,6,322,浦东,0,2007年,无 ,个人产权,普通住宅,"
                                2018-04-11
                        ",83331元/平米,http://esf.sh.fang.com/chushou/3_319807525.htm
78,"
4室2厅3卫        ",180平米,31667元/平米,南,低层,简装修,17,650,青浦,0,2013年,叠加,80平米,平层,1,1,http://esf.sh.fang.com/chushou/10_319433772.htm
79,"
3室2厅2卫        ",109.26平米,42101元/平米,南北,低层,中装修,0,0,浦东,0,2012年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319302152.htm
80,"
1室1厅1卫        ",51.36平米,36604元/平米,南北,低层,精装修,9,765,浦东,0,2009年,有 ,个人产权,普通住宅,平层,钢混,http://esf.sh.fang.com/chushou/3_318932886.htm
81,"
2室2厅1卫        ",135平米,88889元/平米,南北,中层,豪华装修,8,338,黄浦,0,2017年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319505323.htm
82,"
2室2厅1卫        ",89平米,31461元/平米,南北,高层,精装修,11,512,嘉定,1,2013年,有 ,个人产权,普通住宅,平层,"
                                2018-04-05
                        ",http://esf.sh.fang.com/chushou/3_319427688.htm
83,"
6室2厅5卫        ",722.6平米,138375元/平米,南,低层,豪华装修,0,0,浦东,1,2005年,独栋,500平米,1,4,200平米,http://esf.sh.fang.com/chushou/10_318452344.htm
84,"
4室2厅2卫        ",130平米,92308元/平米,南北,高层,豪华装修,11,805,普陀,0,2017年,有 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319621830.htm
85,"
2室1厅1卫        ",10.01平米,41958元/平米,南,中层,精装修,4,240,徐汇,0,2008年,无 ,个人产权,普通住宅,复式,板楼,http://esf.sh.fang.com/chushou/3_319205827.htm
86,"
6室3厅5卫        ",812平米,32020元/平米,南,中层,精装修,0,0,浦东,0,2011年,独栋,1200平米,挑高,1,2,http://esf.sh.fang.com/chushou/10_319148436.htm
87,"
4室2厅2卫        ",134.24平米,33522元/平米,南北,高层,简装修,0,0,松江,0,2013年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319887680.htm
88,"
4室3厅3卫        ",230平米,56522元/平米,南北,低层,简装修,0,0,浦东,0,2016年,无 ,个人产权,普通住宅,"
                                2018-04-11
                        ",41926元/平米,http://esf.sh.fang.com/chushou/3_319809320.htm
89,"
3室1厅1卫        ",93.05平米,41376元/平米,南,低层,简装修,3,269,宝山,0,1998年,无 ,商品房,普通住宅,"
                                2018-04-04
                        ",37795元/平米,http://esf.sh.fang.com/chushou/3_319380324.htm
90,"
2室1厅1卫        ",74平米,53784元/平米,南北,中层,精装修,10,684,闵行,0,1996年,无 ,个人产权,普通住宅,"
                                2018-04-04
                        ",47505元/平米,http://esf.sh.fang.com/chushou/3_319367989.htm
91,"
3室2厅2卫        ",163平米,79755元/平米,南,中层,精装修,9,619,浦东,0,2004年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319931348.htm
92,"
2室1厅1卫        ",73.8平米,37263元/平米,南,中层,毛坯,0,0,闵行,0,2010年,有 ,个人产权,普通住宅,"
                                2018-04-10
                        ",36259元/平米,http://esf.sh.fang.com/chushou/3_319751449.htm
93,"
1室1厅1卫        ",42平米,44762元/平米,南,低层,精装修,1,873,宝山,0,1994年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319508804.htm
94,"
3室2厅2卫        ",91.5平米,32896元/平米,南,中层,精装修,0,0,青浦,0,2012年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319548313.htm
95,"
3室2厅2卫        ",108平米,34259元/平米,南北,中层,精装修,9,951,浦东,1,2009年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319389429.htm
96,"
2室2厅1卫        ",77平米,42208元/平米,南北,低层,简装修,0,0,松江,0,2018年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319728192.htm
97,"
2室1厅1卫        ",51平米,19608元/平米,南,低层,精装修,0,0,奉贤,0,2012年,无 ,个人产权,酒店式公寓,"
                                2018-04-10
                        ",19842元/平米,http://esf.sh.fang.com/chushou/3_319756252.htm
98,"
1室1厅1卫        ",45.7平米,47046元/平米,南,高层,简装修,13,517,嘉定,0,1995年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319699172.htm
99,"
2室1厅1卫        ",73.9平米,60217元/平米,南北,中层,中装修,2,341,长宁,0,1996年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319223534.htm
100,"
2室1厅1卫        ",65平米,13846元/平米,南北,中层,简装修,0,0,嘉定,0,2008年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_318618108.htm
101,"
3室2厅2卫        ",150平米,81333元/平米,南,低层,精装修,9,149,浦东,0,2004年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319928108.htm
102,"
2室2厅1卫        ",90平米,32222元/平米,南北,高层,精装修,0,0,松江,0,2009年,无 ,商品房,普通住宅,平层,塔楼,http://esf.sh.fang.com/chushou/3_319657633.htm
103,"
3室2厅2卫        ",120.66平米,52213元/平米,南北,中层,毛坯,2,543,浦东,0,2008年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_314119858.htm
104,"
4室2厅3卫        ",278.66平米,107658元/平米,东,低层,精装修,7,1145,浦东,0,2010年,独栋,平层,"
                                2018-04-01
                        ",123863元/平米,↑11.71%,http://esf.sh.fang.com/chushou/10_319213401.htm
105,"
4室2厅2卫        ",172平米,96395元/平米,南北,中层,豪华装修,4,252,卢湾,0,2004年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319957200.htm
106,"
2室2厅1卫        ",90.07平米,59953元/平米,南北,低层,精装修,2,984,浦东,0,2011年,有 ,个人产权,普通住宅,平层,钢混,http://esf.sh.fang.com/chushou/3_319836677.htm
107,"
3室1厅1卫        ",81平米,80247元/平米,南,中层,简装修,0,0,浦东,0,1996年,无 ,个人产权,酒店式公寓,塔板结合,"
                                2018-04-09
                        ",http://esf.sh.fang.com/chushou/3_319663077.htm
108,"
2室1厅1卫        ",45.64平米,20158元/平米,南北,高层,精装修,0,0,青浦,0,2007年,有 ,个人产权,普通住宅,平层,"
                                2018-04-12
                        ",http://esf.sh.fang.com/chushou/3_319844803.htm
109,"
3室2厅2卫        ",135平米,73926元/平米,暂无,中层,简装修,3,292,徐汇,0,2002年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_315356931.htm
110,"
4室2厅4卫        ",205平米,106829元/平米,南,中层,豪华装修,4,484,徐汇,0,2013年,有 ,个人产权,普通住宅,平层,钢混,http://esf.sh.fang.com/chushou/3_319838549.htm
111,"
1室2厅1卫        ",79.1平米,87231元/平米,南,高层,精装修,1,585,闸北,0,2012年,无 ,个人产权,普通住宅,"
                                2018-04-12
                        ",75365元/平米,http://esf.sh.fang.com/chushou/3_319873209.htm
112,"
2室1厅1卫        ",61.81平米,54037元/平米,南北,中层,精装修,2,795,长宁,0,1994年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319223556.htm
113,"
4室2厅2卫        ",185平米,70270元/平米,南北,高层,简装修,8,460,黄浦,0,2002年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319910733.htm
114,"
2室1厅1卫        ",64平米,46875元/平米,西南,高层,精装修,1,873,宝山,0,1990年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319509002.htm
115,"
4室2厅3卫        ",275平米,109091元/平米,南北,高层,豪华装修,10,407,黄浦,0,2014年,有 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319871505.htm
116,"
3室2厅2卫        ",132平米,48864元/平米,南,中层,精装修,0,0,徐汇,1,2007年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_318616997.htm
117,"
2室2厅1卫        ",82.02平米,41453元/平米,南北,高层,精装修,0,0,浦东,0,2008年,有 ,个人产权,普通住宅,平层,钢混,http://esf.sh.fang.com/chushou/3_319395799.htm
118,"
1室1厅1卫        ",43平米,37209元/平米,南,中层,豪华装修,5,1065,闵行,0,1989年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_317577797.htm
119,"
4室2厅3卫        ",130平米,20000元/平米,南,低层,简装修,0,0,崇明,0,2018年,独栋,平层,"
                                2018-04-10
                        ",20133元/平米,↓0.83%,http://esf.sh.fang.com/chushou/10_319724887.htm
120,"
2室2厅2卫        ",109平米,8349元/平米,南,中层,简装修,0,0,上海周边,0,2010年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319448236.htm
121,"
2室1厅1卫        ",47平米,12979元/平米,南北,中层,豪华装修,0,0,上海周边,0,2017年,有 ,个人产权,普通住宅,错层,钢混,http://esf.sh.fang.com/chushou/3_318101048.htm
122,"
2室1厅1卫        ",75平米,14933元/平米,南北,高层,豪华装修,0,0,上海周边,0,2018年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319822934.htm
123,"
1室1厅1卫        ",38.63平米,121149元/平米,南,低层,精装修,9,600,浦东,0,1992年,无 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319510265.htm
